id,cell,soh,soc,temperature,M,mu,RMS_error
55,1.0,49.0,90.0,25.0,26,0.49778277661660775,0.010094783771120084
56,1.0,49.0,90.0,25.0,27,0.4610289033017102,0.010765272496532474
49,1.0,49.0,10.0,25.0,24,0.43429558931776757,0.012474001924299606
42,1.0,48.0,90.0,25.0,26,0.4704409681792745,0.010151021042713832
43,1.0,48.0,90.0,25.0,27,0.4467600078569942,0.01013176672709155
44,1.0,48.0,90.0,25.0,26,0.48863536697784216,0.010638784574039701
45,1.0,48.0,90.0,25.0,26,0.4666547013411416,0.010971163125288575
46,1.0,48.0,90.0,25.0,27,0.43880546658969677,0.010167574718943249
37,1.0,48.0,10.0,25.0,24,0.45776165826402715,0.011498972292727509
38,1.0,48.0,10.0,25.0,25,0.48925754119525944,0.01278819261618476
39,1.0,48.0,10.0,25.0,30,0.4500486775096483,0.01187737033174579
40,1.0,48.0,10.0,25.0,25,0.41966155363901825,0.01052619197475511
35,1.0,47.0,90.0,25.0,26,0.48711838523103945,0.02161114857824367
36,1.0,47.0,90.0,25.0,26,0.48346516614057433,0.010444700273509503
33,1.0,47.0,10.0,25.0,24,0.42685802809594364,0.013043546922452576
30,1.0,46.0,90.0,25.0,28,0.4733154076873878,0.010171571004384821
31,1.0,46.0,90.0,25.0,26,0.4823243810739465,0.01015622332337911
32,1.0,46.0,90.0,25.0,27,0.3268291547511516,0.022458359983626365
25,1.0,46.0,10.0,25.0,25,0.47707289449164003,0.010426506813559958
26,1.0,46.0,10.0,25.0,25,0.3929132128619631,0.011330270868783467
27,1.0,46.0,10.0,25.0,24,0.44834941900130054,0.011929892956203373
19,1.0,45.0,90.0,25.0,27,0.47918745595079293,0.010605942489848058
20,1.0,45.0,90.0,25.0,26,0.4550173161619966,0.01072793126906734
21,1.0,45.0,90.0,25.0,26,0.48621178339778603,0.010579518209798478
22,1.0,45.0,90.0,25.0,26,0.49425270865905646,0.010007595580423488
23,1.0,45.0,90.0,25.0,26,0.47718351130615355,0.010533501401791644
14,1.0,45.0,10.0,25.0,25,0.40262270907160236,0.010781287074234768
16,1.0,45.0,10.0,25.0,25,0.4637773645662475,0.010322295135479683
17,1.0,45.0,10.0,25.0,27,0.424101614596456,0.07037850762449638
