id,cell,soh,soc,temperature,M,mu,RMS_error
8251,2.0,91.0,40.0,45.0,22,0.4087273442151733,0.011155887131006537
8252,2.0,91.0,40.0,45.0,22,0.3519525129337351,0.010847028810777587
8253,2.0,91.0,40.0,45.0,22,0.40214952043177643,0.010801754920706287
8254,2.0,91.0,40.0,45.0,21,0.4597063398404766,0.010966476684272343
8255,2.0,91.0,40.0,45.0,23,0.4073216940877592,0.011960895364074652
8256,2.0,91.0,40.0,45.0,23,0.44509821650902137,0.010552449840513558
8205,2.0,91.0,10.0,35.0,25,0.4312078584946083,0.006488811004561099
8206,2.0,91.0,10.0,35.0,25,0.455311053649758,0.006223353823758842
8217,2.0,91.0,10.0,45.0,22,0.4720046710779403,0.009359434305336974
8218,2.0,91.0,10.0,45.0,23,0.49445458702850387,0.008302972810309119
8219,2.0,91.0,10.0,45.0,22,0.4699536348940163,0.00908111636390688
8220,2.0,91.0,10.0,45.0,25,0.32120587746390805,0.007970785970956257
8221,2.0,91.0,10.0,45.0,22,0.4666841959113591,0.010378829498269812
8222,2.0,91.0,10.0,45.0,22,0.44938886972360337,0.009186485154559752
8223,2.0,91.0,10.0,45.0,26,0.44286577579243125,0.008234475520760514
8224,2.0,91.0,10.0,45.0,22,0.4130902371027111,0.008905562417325869
8225,2.0,91.0,10.0,45.0,24,0.44423091718892094,0.008742702999609048
8226,2.0,91.0,10.0,45.0,26,0.4998369399516799,0.008312473784747058
8135,2.0,90.0,90.0,35.0,24,0.4545944729838072,0.007434032955814727
8136,2.0,90.0,90.0,35.0,25,0.45226441175763943,0.00626664410741966
8137,2.0,90.0,90.0,35.0,26,0.46376262938255985,0.006122231872528216
8138,2.0,90.0,90.0,35.0,24,0.47420032102104237,0.006516719593433986
8194,2.0,90.0,90.0,45.0,25,0.4423983214512692,0.006541980809264824
8195,2.0,90.0,90.0,45.0,23,0.4218352205894512,0.008251253494333647
8196,2.0,90.0,90.0,45.0,26,0.43354935527954686,0.006466334480923876
8197,2.0,90.0,90.0,45.0,27,0.4906686373455824,0.006315470535321903
8198,2.0,90.0,90.0,45.0,28,0.46051419457570564,0.006332870869553296
8199,2.0,90.0,90.0,45.0,25,0.45015690226200444,0.007241224617422726
8200,2.0,90.0,90.0,45.0,27,0.40244039374446106,0.007891595801719567
8201,2.0,90.0,90.0,45.0,22,0.49708158688583337,0.00866445388240487
8202,2.0,90.0,90.0,45.0,26,0.3799979467377127,0.0063190906764491826
8203,2.0,90.0,90.0,45.0,25,0.4101962729867171,0.006493222404734895
8204,2.0,90.0,90.0,45.0,23,0.48502128667036426,0.008612922434246426
8131,2.0,90.0,50.0,35.0,28,0.4077423698304563,0.0022715150821150465
8132,2.0,90.0,50.0,35.0,28,0.30223113868248186,0.002540637606943129
8133,2.0,90.0,50.0,35.0,28,0.2327434296127674,0.002326539194673759
8134,2.0,90.0,50.0,35.0,25,0.45963094161366536,0.0030073931788792796
8183,2.0,90.0,50.0,45.0,27,0.40868528518968783,0.003119859740387081
8184,2.0,90.0,50.0,45.0,27,0.37310403598154884,0.003666182587612625
8185,2.0,90.0,50.0,45.0,28,0.24283979749480522,0.0037430083699562184
8186,2.0,90.0,50.0,45.0,25,0.40731587140605574,0.004341202361726571
8187,2.0,90.0,50.0,45.0,26,0.370221702750672,0.003039368458210658
8188,2.0,90.0,50.0,45.0,27,0.4689679278924479,0.003111300809593647
8189,2.0,90.0,50.0,45.0,26,0.3951066715886786,0.004089224704593611
8190,2.0,90.0,50.0,45.0,26,0.4315715436666757,0.004031311519906337
8191,2.0,90.0,50.0,45.0,24,0.43574793204249085,0.0035811009966372183
8192,2.0,90.0,50.0,45.0,28,0.38548666983260793,0.0031638782460888556
8193,2.0,90.0,50.0,45.0,25,0.48235484017752617,0.0035150195822594922
8127,2.0,90.0,40.0,35.0,21,0.44276205632915333,0.014479390871512758
8128,2.0,90.0,40.0,35.0,24,0.41556163168029825,0.013477293834554427
8129,2.0,90.0,40.0,35.0,25,0.3193250535727553,0.013120047275959026
8130,2.0,90.0,40.0,35.0,23,0.4506200384681408,0.013858080007402298
8172,2.0,90.0,40.0,45.0,26,0.3559686643843002,0.011928697162777318
8173,2.0,90.0,40.0,45.0,22,0.3899580338087483,0.010950131791782726
8174,2.0,90.0,40.0,45.0,23,0.4996222754175944,0.0114761475467938
8175,2.0,90.0,40.0,45.0,26,0.4025930655959291,0.011825900433638714
8176,2.0,90.0,40.0,45.0,21,0.44764567852228143,0.012127844453794188
8177,2.0,90.0,40.0,45.0,23,0.47857275740486305,0.011509695849293301
8178,2.0,90.0,40.0,45.0,22,0.48586899022054164,0.011269615588863805
8179,2.0,90.0,40.0,45.0,21,0.48641644967463415,0.011015372243411816
8180,2.0,90.0,40.0,45.0,22,0.48119532901778517,0.011345023533608474
8181,2.0,90.0,40.0,45.0,21,0.4474298059484816,0.012330959926817554
8182,2.0,90.0,40.0,45.0,22,0.46747346205827156,0.01139224681619121
8115,2.0,90.0,10.0,35.0,23,0.48696948277268803,0.00717348880333965
8116,2.0,90.0,10.0,35.0,26,0.4929080140554949,0.006442372745752351
8117,2.0,90.0,10.0,35.0,26,0.42867519140277266,0.006445424227373067
8118,2.0,90.0,10.0,35.0,25,0.42198817247105824,0.007231872238554132
8139,2.0,90.0,10.0,45.0,24,0.4715301873946013,0.007924307734165404
8140,2.0,90.0,10.0,45.0,24,0.38357647049721033,0.008785558840074982
8141,2.0,90.0,10.0,45.0,26,0.4721536051477928,0.007719301833293022
8142,2.0,90.0,10.0,45.0,26,0.41258912808114645,0.007869567013636166
8143,2.0,90.0,10.0,45.0,23,0.419641916135155,0.009322903278463808
8144,2.0,90.0,10.0,45.0,23,0.47040476247627017,0.008338733126787734
8145,2.0,90.0,10.0,45.0,24,0.44967854010337416,0.007849831899434738
8146,2.0,90.0,10.0,45.0,25,0.4464872596792938,0.009449132119398353
8147,2.0,90.0,10.0,45.0,26,0.455946796085856,0.007671045585182685
8148,2.0,90.0,10.0,45.0,23,0.38439714143166837,0.008983310644541765
8149,2.0,90.0,10.0,45.0,24,0.4195530471294515,0.008167279701863461
8045,2.0,89.0,90.0,35.0,26,0.40666911872817235,0.006466369982631618
8046,2.0,89.0,90.0,35.0,28,0.48542208916602436,0.006410295044619851
8047,2.0,89.0,90.0,35.0,24,0.4528776952804586,0.006515602338018037
8048,2.0,89.0,90.0,35.0,24,0.4444365125821935,0.007162899974433228
8049,2.0,89.0,90.0,35.0,25,0.4328839979715573,0.006237625196137418
8050,2.0,89.0,90.0,35.0,26,0.48371642924203784,0.006237314515541503
8052,2.0,89.0,90.0,35.0,23,0.48267664720280856,0.0073415358469429886
8053,2.0,89.0,90.0,35.0,24,0.44923698752093577,0.007626959767133337
8054,2.0,89.0,90.0,35.0,23,0.49574506466965496,0.00732215805660052
8105,2.0,89.0,90.0,45.0,25,0.481294308509155,0.006773383249049994
8106,2.0,89.0,90.0,45.0,22,0.4824392905892453,0.008445041981462495
8107,2.0,89.0,90.0,45.0,26,0.48356095871226146,0.006216376908215886
8108,2.0,89.0,90.0,45.0,23,0.45707119999376156,0.007882829251498396
8109,2.0,89.0,90.0,45.0,23,0.44332630160184616,0.008558034565556595
8110,2.0,89.0,90.0,45.0,23,0.42286591200233936,0.008106409291012945
8111,2.0,89.0,90.0,45.0,25,0.4866981288915323,0.006400584543717269
8112,2.0,89.0,90.0,45.0,26,0.3880373440721254,0.006618888963984847
8113,2.0,89.0,90.0,45.0,26,0.4244613968137514,0.006994852951673934
8114,2.0,89.0,90.0,45.0,26,0.47167510441205673,0.0076354468906931145
8035,2.0,89.0,50.0,35.0,27,0.4440579077935166,0.0025492220517067763
8036,2.0,89.0,50.0,35.0,27,0.48078492257133776,0.0026271329271729794
8037,2.0,89.0,50.0,35.0,27,0.4915845691703037,0.0027381814624956717
8038,2.0,89.0,50.0,35.0,26,0.4403961742027196,0.0026097806631040516
8039,2.0,89.0,50.0,35.0,26,0.4339078875263419,0.003170255485489753
8040,2.0,89.0,50.0,35.0,27,0.43870606687882197,0.002525858685456056
8041,2.0,89.0,50.0,35.0,28,0.3716896205280257,0.002650710456499411
8042,2.0,89.0,50.0,35.0,24,0.4532651947943547,0.0031140534005245843
8043,2.0,89.0,50.0,35.0,27,0.49551409689465664,0.0025751992025864756
8044,2.0,89.0,50.0,35.0,28,0.4528678076062904,0.002379136040796768
8095,2.0,89.0,50.0,45.0,29,0.1383033474530101,0.003819413328050736
8096,2.0,89.0,50.0,45.0,27,0.44958875965477674,0.0040274491652053995
8097,2.0,89.0,50.0,45.0,26,0.4236200082047441,0.003362446771251224
8098,2.0,89.0,50.0,45.0,28,0.22773748583965048,0.003766994386707792
8099,2.0,89.0,50.0,45.0,27,0.4604769035896825,0.0032990485958318137
8100,2.0,89.0,50.0,45.0,27,0.4485353034142572,0.0032979629342339786
8101,2.0,89.0,50.0,45.0,24,0.49578222881299827,0.0033265481114596552
8102,2.0,89.0,50.0,45.0,26,0.3271283845483385,0.0041740121931490674
8103,2.0,89.0,50.0,45.0,27,0.4310650729738402,0.0038823150728271062
8104,2.0,89.0,50.0,45.0,29,0.4760178834477141,0.0033418081343654427
8025,2.0,89.0,40.0,35.0,27,0.3036226563965926,0.013067829581703392
8026,2.0,89.0,40.0,35.0,23,0.4074588087221698,0.01798574736046207
8027,2.0,89.0,40.0,35.0,25,0.3598296227271456,0.013500244887585609
8028,2.0,89.0,40.0,35.0,27,0.28259844654332356,0.017800015550080924
8029,2.0,89.0,40.0,35.0,23,0.4774515361939772,0.013080998491681194
8030,2.0,89.0,40.0,35.0,21,0.4548872128626906,0.01354241532202117
8031,2.0,89.0,40.0,35.0,23,0.4964676469439936,0.01394611475924439
8032,2.0,89.0,40.0,35.0,22,0.3988108412759849,0.013641371253746462
